match value,datafile description cue,ontology class label,ontology class iri
100,behavior,behavior,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000517
100,rate,rate,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000065
100,configuration file,configuration file,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000469
100,filter,filter,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000292
100,position,position,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000565
100,output of,output of,http://purl.obolibrary.org/obo/RO_0002353
100,cell,cell,http://purl.obolibrary.org/obo/CL_0000000
100,recording,recording,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000443
100,Language,Language,http://purl.org/dc/elements/1.1/language
100,brain region,brain region,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000706
100,quality,quality,http://purl.obolibrary.org/obo/BFO_0000019
100,experiment,experiment,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000410
100,contains,contains,http://purl.obolibrary.org/obo/RO_0001019
100,size,size,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000307
100,window,window,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000213
100,count,count,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000413
100,software,software,http://purl.obolibrary.org/obo/IAO_0000010
100,electrode,electrode,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000441
100,data set,data set,http://purl.obolibrary.org/obo/IAO_0000100
100,process,process,http://purl.obolibrary.org/obo/BFO_0000015
100,definition,definition,http://purl.obolibrary.org/obo/IAO_0000115
100,data file,data file,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000168
100,sampling rate,sampling rate,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000034
93,compute,computer,http://purl.obolibrary.org/obo/OBI_0400107
93,synchronization,Synchronization,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001030
90,description,Description,http://purl.org/dc/elements/1.1/description
88,even,event,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000256
88,mode,model,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000566
85,use,user,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000560
83,source,Source,http://purl.org/dc/elements/1.1/source
83,Figure,figure,http://purl.obolibrary.org/obo/IAO_0000308
83,format,Format,http://purl.org/dc/elements/1.1/format
81,preparation,preparation date,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000238
80,experimental,experimental setup,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000165
80,a window,alpha window,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000583
80,duration,ADP duration,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001003
80,system,subsystem,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000161
79,recording session,recording session end date,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000104
78,principle,Size principle,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001202
76,individual,individual count,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000275
76,input,input of,http://purl.obolibrary.org/obo/RO_0002352
76,example of,example of usage,http://purl.obolibrary.org/obo/IAO_0000112
76,behavioral,behavioral assay,http://purl.obolibrary.org/obo/ERO_0001116
75,of interest,region of interest,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000450
75,threshold,Spike threshold,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001500
75,length,wavelength,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000699
73,dataset,dataset file,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000553
73,information,contact information,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000314
72,analysis,image analysis,http://purl.obolibrary.org/obo/ERO_0000220
72,function,function_notes,http://purl.obolibrary.org/obo/UBPROP_0000009
72,site,website,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000693
72,filtering,device filtering,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000476
72,frequency,Firing frequency,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001022
71,ratio,Sag ratio,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001015
71,short,shorthand,http://www.geneontology.org/formats/oboInOwl#shorthand
70,result,result file,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000331
70,voltage,voltage clamp,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000164
68,processing,Parallel processing,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001180
68,instructions,instructions to subject,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000391
66,layer,cell layer,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000354
66,version,device version,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000700
66,name,pathname,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000170
66,setting,device setting,http://purl.obolibrary.org/obo/OBI_0000654
66,per,person,http://xmlns.com/foaf/0.1/Person
