match value,datafile description cue,ontology class label,ontology class iri
100,structure,structure,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000732
100,sampling rate,sampling rate,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000034
100,microscope,microscope,http://purl.obolibrary.org/obo/OBI_0400169
100,temperature,temperature,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000310
100,experimenter,experimenter,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000559
100,ganglion,ganglion,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000689
100,monitor,monitor,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000756
100,electrode,electrode,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000441
100,frame rate,frame rate,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000662
100,recording,recording,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000443
100,diameter,diameter,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000105
100,size,size,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000307
100,pixel size,pixel size,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000261
100,recording start time,recording start time,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000728
100,contains,contains,http://purl.obolibrary.org/obo/RO_0001019
100,address,address,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000087
100,white noise,white noise,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000075
100,cell,cell,http://purl.obolibrary.org/obo/CL_0000000
100,rate,rate,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000065
100,stimulus,stimulus,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000050
