term;property;content;id;definition
amplifier;NEMO_related;voltage_amplifier;http://purl.obolibrary.org/obo/OBI_0400101;A voltage amplifier is a device that amplifies the voltage signal.
;;voltage_amplifier_filter_setting;http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_1142000;voltage amplifier filter setting...
;;amplifier_pass_band;http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_2237000;amplifier_pass_band is a band of frequencies, between specified limits, that a circuit (e.g., an amplifier or filter) is capable of handling.  All frequencies below the lower limit and above the upper limit are not allowed to pass.  The limiting frequencies are defined as those at which the relative intensity or power decreases to a specified fraction of the maximum intensity or power.  This decrease in power is often specified to be the half-power points (i.e., 3 dB below the maximum power). 
;;amplifier_input_impedance;http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_2655000;... [incomplete]
;;amplifier_stop_band;http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_0118000;amplifier_pass_band is a band of frequencies, between specified limits, that a circuit (e.g., an amplifier or filter) does not transmit. Frequencies above the lower limit and below the upper limit are not allowed to pass. The limiting frequencies are those at which the transmitted power level increases to a specified level, usually 3 dB below the maximum level, as the frequency is decreased or increased from that at which the transmitted power is a minimum.
;;voltage_amplifier_highpass_filter_setting;http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_3383000;"""In an RC circuit, the value of the time constant (in seconds) is equal to the product of the circuit resistance (in ohms) and the circuit capacitance  (in farads), i.e. &#964; = R &#215; C. It is the time required to charge the capacitor, through the resistor, to 63.2 (&#8776; 63) percent of full charge; or to discharge it to 36.8 (&#8776; 37) percent of its initial voltage. These values are derived from the mathematical constant e, specifically 1 &#8722; e &#8722; 1 and e &#8722; 1 respectively."" (http://en.wikipedia.org/wiki/RC_time_constant)"
;;voltage_amplifier_lowpass_filter_setting;http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_4273000;"""In an RC circuit, the value of the time constant (in seconds) is equal to the product of the circuit resistance (in ohms) and the circuit capacitance  (in farads), i.e. &#964; = R &#215; C. It is the time required to charge the capacitor, through the resistor, to 63.2 (&#8776; 63) percent of full charge; or to discharge it to 36.8 (&#8776; 37) percent of its initial voltage. These values are derived from the mathematical constant e, specifically 1 &#8722; e &#8722; 1 and e &#8722; 1 respectively."" (http://en.wikipedia.org/wiki/RC_time_constant)."
;neurolex_related;Transducer Amplifier;http://neurolex.org/wiki/Nlx_137271;"Transducer amplifiers, also commonly referred to as ""bridge"" amplifiers, are used to amplify signals from voltage excited transducers that are designed to be sensitive to physical or electromagnetic phenomena, such as force, light, displacement, or pressure."
;;Intracellular Amplifier;http://neurolex.org/wiki/Category-3AIntracellular_Amplifier;Intracellular amplifiers are sometimes referred to as electrometers. They are used to measure potentials within the cytoplasm of a cell. They are typically low gain, very high input impedance amplifiers that incorporate special features to facilitate the unique requirements of intracellular recording.
;;Extracellular Amplifier;http://neurolex.org/wiki/Category-3AExtracellular_Amplifier;Extracellular amplifiers are designed to amplify bio-potentials that occur within interstitial spaces, or to amplify field potentials at the surface of the cell membrane or on the surface of tissues. They typically have a very high input impedance and high voltage gain capability.
;;Transducer Amplifier;http://neurolex.org/wiki/Category-3ATransducer_Amplifier;"Transducer amplifiers, also commonly referred to as ""bridge"" amplifiers, are used to amplify signals from voltage excited transducers that are designed to be sensitive to physical or electromagnetic phenomena, such as force, light, displacement, or pressure."
;;Transducer Amplifier;http://neurolex.org/wiki/Nlx_137318;"Transducer amplifiers, also commonly referred to as ""bridge"" amplifiers, are used to amplify signals from voltage excited transducers that are designed to be sensitive to physical or electromagnetic phenomena, such as force, light, displacement, or pressure."
