,Label,SuperCategory,"Has role","Is part of",Id,Synonym,DefiningCitation,Definition,Comment
":Category:3 dB Frequency","3 dB Frequency","Device parameter",":Category:Electrophysiology concept",,oen_0001237,"-3 dB Frequency	Cutoff frequency,Corner frequency",,"The frequency at which the signal voltage at the output of the filter falls to SQRT(1/2) of the amplitude of the input signal",
":Category:AC Couple","AC Couple","Device parameter",":Category:Electrophysiology concept",,oen_0001212,,,"The continuous removal of DC shifts during signal recordings.",
":Category:ADP amplitude","ADP amplitude","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001004,"after-depolarization potential amplitude,afterdepolarization potential amplitude,ADP magnitude,ADP amplitude,ADP size,ADP peak amplitude,ADP",,"Amplitude from first AP onset to maximum voltage, typically more depolarized that the resting membrane potential","NeuroElectro Term 24"
":Category:ADP duration","ADP duration","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001003,"after-depolarization potential duration,afterdepolarization potential duration,ADP duration",,"Duration from first AP onset to maximum ADP","NeuroElectro Term 25"
":Category:Accelleration stimulus transduction","Accelleration stimulus transduction","Solid object-coupled ciliary displacement stimulus transduction",,,birnlex_15017,"equilibrioception,sensory transduction of mechanical stimulus",,"The series of events involved in equilibrioception in which a sensory mechanical stimulus is received by a cell and converted into a molecular signal. During equilibrioception, mechanical stimuli may be in the form of input from pressure receptors or from the labyrinth system of the inner ears.",
":Category:Access resistance","Access resistance","Cellular physiology characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001016,"access resistance,series resistance",,"Sum of the electrode resistance and the resistance at the electrode-cell junction","NeuroElectro Term 12"
":Category:Action potential","Action potential","Membrane potential",":Category:Electrophysiology concept",,PATO_0001463,"Firing,Spike,Axonal Action Potential",ModelDB:3645,"A large, brief, all-or-nothing, regenerative electrical potential, that propagates along the axon, muscle fiber, or some dendrites.  Action potentials are usually generated at the axon hillock and propagate uni-directionally down the axon.  Adapted from Nicholls, Martin and Wallace 3rd edition.",
":Category:Action potential characteristic","Action potential characteristic","Cellular physiology characteristic",":Category:Electrophysiology concept",,nlx_152523,,,,
":Category:Active dendrite","Active dendrite",Dendrite,":Category:Electrophysiology concept",,oen_0001092,,,"Dendrites with active conductances which can influence the affects of synaptic inputs and are sometimes  capable of generating action potentials.","Changed the supercategory from Cellular morphology characteristic to dendrite.  This should not be classified as a morphology characteristic, as it is referencing function and not structure.  However, some discussion is warranted about whether it is a subtype of dendrite or whether it is a role for a dendrite to play."
":Category:Activity pattern","Activity pattern",Pattern,":Category:Electrophysiology concept",,oen_0001091,,ModelDB:3543,"In neurons, neural circuits or neural models refers to spatial or temporal patterns (or both) of spiking activity.","Moved the Supercategory to:  Pattern.  Look here for a definition of pattern: https://bioportal.bioontology.org/ontologies/SIO/?p=classes&conceptid=http%3A%2F%2Fsemanticscience.org%2Fresource%2FSIO_000130"
":Category:Adaptation ratio","Adaptation ratio","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001000,"adaptation percent",,"Ratio of durations between early and late AP inter-spike intervals","NeuroElectro Term 27"
":Category:Adequate stimulus","Adequate stimulus","Electrophysiology concept",,,oen_0001099,,,"The particular type of stimulus energy to which a sensory receptor cell is sensitive",
