;Label;SuperCategory;Has role;Is part of;Id;Synonym;DefiningCitation;Definition;Comment
"owl:Class
""position intra""
oen_term:oen_0000000
""Helmholtz""";position intra;oen_term:oen_0000000;';';oen_0000286;';';';'
"owl:Class
""software device""
oen_term:oen_0000000
""Helmholtz""";software device;oen_term:oen_0000000;';';oen_0000287;';';';'
"owl:Class
""cell attached configuration""
oen_term:oen_0000000
""Helmholtz""";cell attached configuration;oen_term:oen_0000000;';';oen_0000284;';';';'
"owl:Class
""phone number""
oen_term:oen_0000000
""Helmholtz""";phone number;oen_term:oen_0000000;';';oen_0000285;';';';'
"owl:Class
""rectangular window""
oen_term:oen_0000000
""odML terminology""";rectangular window;oen_term:oen_0000000;';';oen_0000282;';';';'
"owl:Class
""neural structure cell type""
oen_term:oen_0000000
""Helmholtz""";neural structure cell type;oen_term:oen_0000000;';';oen_0000283;';';';'
"owl:Class
""cell baseline membrane potential noise""
oen_term:oen_0000000
""odML terminology""";cell baseline membrane potential noise;oen_term:oen_0000000;';';oen_0000280;';';';'
"owl:Class
""receptive field""
oen_term:oen_0000000
""Helmholtz""";receptive field;oen_term:oen_0000000;';';oen_0000281;';';';'
"owl:Class
""image acquisition color temperature""
oen_term:oen_0000000
""odML terminology""";image acquisition color temperature;oen_term:oen_0000000;';';oen_0000551;';';';'
"owl:Class
""storage file server""
oen_term:oen_0000000
""Helmholtz""";storage file server;oen_term:oen_0000000;';';oen_0000288;';';';'
"owl:Class
""stimulation receptive field y""
oen_term:oen_0000000
""Helmholtz""";stimulation receptive field y;oen_term:oen_0000000;';';oen_0000289;';';';'
"owl:Class
""preparation model protocol""
oen_term:oen_0000000
""Helmholtz""";preparation model protocol;oen_term:oen_0000000;';';oen_0000091;';';';'
"owl:Class
""decibel""
oen_term:oen_0000000
""odML terminology""";decibel;oen_term:oen_0000000;';';oen_0000090;';';';'
"owl:Class
""shutter device component""
oen_term:oen_0000000
""odML terminology""";shutter device component;oen_term:oen_0000000;';';oen_0000233;';';';'
"owl:Class
""electrode contact configuration""
oen_term:oen_0000000
""Helmholtz""";electrode contact configuration;oen_term:oen_0000000;';';oen_0000232;';';';'
"owl:Class
""species english name""
oen_term:oen_0000000
""Helmholtz""";species english name;oen_term:oen_0000000;';';oen_0000231;';';';'
"owl:Class
""preparation equipment""
oen_term:oen_0000000
""Helmholtz""";preparation equipment;oen_term:oen_0000000;';';oen_0000230;';';';'
"owl:Class
""identifier""
oen_term:oen_0000000
""odML terminology""";identifier;oen_term:oen_0000000;';';oen_0000237;';';';'
"owl:Class
""amplifier type""
oen_term:oen_0000000
""odML terminology""";amplifier type;oen_term:oen_0000000;';';oen_0000236;';';';'
"owl:Class
""discrete signal left sweep""
oen_term:oen_0000000
""Helmholtz""";discrete signal left sweep;oen_term:oen_0000000;';';oen_0000235;';';';'
"owl:Class
""grating drifting velocity""
oen_term:oen_0000000
""odML terminology""";grating drifting velocity;oen_term:oen_0000000;';';oen_0000234;';';';'
"owl:Class
""experimental measurement""
oen_term:oen_0000000
""odML terminology""";experimental measurement;oen_term:oen_0000000;';';oen_0000239;';';';'
"owl:Class
""preparation date""
oen_term:oen_0000000
""odML terminology""";preparation date;oen_term:oen_0000000;';';oen_0000238;';';';'
"owl:Class
""phase-antiphase stimulation movement stimulus""
oen_term:oen_0000000
""Helmholtz""";phase-antiphase stimulation movement stimulus;oen_term:oen_0000000;';';oen_0000549;';';';'
"owl:Class
""watt""
oen_term:oen_0000000
""odML terminology""";watt;oen_term:oen_0000000;';';oen_0000099;';';';'
"owl:Class
""colored colorspace""
oen_term:oen_0000000
""odML terminology""";colored colorspace;oen_term:oen_0000000;';';oen_0000548;';';';'
"owl:Class
""dataset recording end time""
oen_term:oen_0000000
""odML terminology""";dataset recording end time;oen_term:oen_0000000;';';oen_0000098;';';';'
"owl:Class
""image sensor microchip""
oen_term:oen_0000000
""odML terminology""";image sensor microchip;oen_term:oen_0000000;';';oen_0000672;';';';'
"owl:Class
""scanner pixel size""
oen_term:oen_0000000
""odML terminology""";scanner pixel size;oen_term:oen_0000000;';';oen_0000742;';';';'
"owl:Class
""drug application""
oen_term:oen_0000000
""Helmholtz""";drug application;oen_term:oen_0000000;';';oen_0000468;';';';'
"owl:Class
""configuration file""
oen_term:oen_0000000
""odML terminology""";configuration file;oen_term:oen_0000000;';';oen_0000469;';';';'
"owl:Class
""drug""
oen_term:oen_0000000
""Helmholtz""";drug;oen_term:oen_0000000;';';oen_0000466;';';';'
"owl:Class
""anteroposterior orientation""
oen_term:oen_0000000
""Helmholtz""";anteroposterior orientation;oen_term:oen_0000000;';';oen_0000467;';';';'
"owl:Class
""country""
oen_term:oen_0000000
""Helmholtz""";country;oen_term:oen_0000000;';';oen_0000464;';';';'
"owl:Class
""analog input resolution""
oen_term:oen_0000000
""odML terminology""";analog input resolution;oen_term:oen_0000000;';';oen_0000465;';';';'
"owl:Class
""preparation thickness""
oen_term:oen_0000000
""Helmholtz""";preparation thickness;oen_term:oen_0000000;';';oen_0000462;';';';'
"owl:Class
""electrocardiogram device""
oen_term:oen_0000000
""Helmholtz""";electrocardiogram device;oen_term:oen_0000000;';';oen_0000463;';';';'
"owl:Class
""stimulation seed constant""
oen_term:oen_0000000
""Helmholtz""";stimulation seed constant;oen_term:oen_0000000;';';oen_0000460;';';';'
"owl:Class
""preparation protocol""
oen_term:oen_0000000
""Helmholtz""";preparation protocol;oen_term:oen_0000000;';';oen_0000461;';';';'
"owl:Class
""experimental setup department""
oen_term:oen_0000000
""odML terminology""";experimental setup department;oen_term:oen_0000000;';';oen_0000589;';';';'
"owl:Class
""analog output channel gain""
oen_term:oen_0000000
""odML terminology""";analog output channel gain;oen_term:oen_0000000;';';oen_0000588;';';';'
"owl:Class
""first name""
oen_term:oen_0000000
""odML terminology""";first name;oen_term:oen_0000000;';';oen_0000673;';';';'
"owl:Class
""continuous signal analysis""
oen_term:oen_0000000
""Helmholtz""";continuous signal analysis;oen_term:oen_0000000;';';oen_0000581;';';';'
"owl:Class
""maximum attenuation""
oen_term:oen_0000000
""odML terminology""";maximum attenuation;oen_term:oen_0000000;';';oen_0000580;';';';'
"owl:Class
""alpha window""
oen_term:oen_0000000
""odML terminology""";alpha window;oen_term:oen_0000000;';';oen_0000583;';';';'
"owl:Class
""drifting stimulation movement stimulus""
oen_term:oen_0000000
""Helmholtz""";drifting stimulation movement stimulus;oen_term:oen_0000000;';';oen_0000582;';';';'
"owl:Class
""microscope objective transmission lower bound""
oen_term:oen_0000000
""odML terminology""";microscope objective transmission lower bound;oen_term:oen_0000000;';';oen_0000585;';';';'
"owl:Class
""quadri-directional stimulation movement stimulus""
oen_term:oen_0000000
""Helmholtz""";quadri-directional stimulation movement stimulus;oen_term:oen_0000000;';';oen_0000547;';';';'
"owl:Class
""birth day""
oen_term:oen_0000000
""odML terminology""";birth day;oen_term:oen_0000000;';';oen_0000587;';';';'
"owl:Class
""contact gel""
oen_term:oen_0000000
""Helmholtz""";contact gel;oen_term:oen_0000000;';';oen_0000586;';';';'
"owl:Class
""organization dissolution date""
oen_term:oen_0000000
""Helmholtz""";organization dissolution date;oen_term:oen_0000000;';';oen_0000019;';';';'
"owl:Class
""position dorsoventral axis""
oen_term:oen_0000000
""Helmholtz""";position dorsoventral axis;oen_term:oen_0000000;';';oen_0000018;';';';'
"owl:Class
""USB2 adaptor syncbox""
oen_term:oen_0000000";USB2 adaptor syncbox;oen_term:oen_0000000;';';oen_0000013;';';';'
"owl:Class
""web camera""
obo:OBI_0000968";web camera;obo:OBI_0000968;';';oen_0000012;';';';'
"owl:Class
""multimedia projector""
obo:OBI_0000968";multimedia projector;obo:OBI_0000968;';';oen_0000011;';';';'
"owl:Class
""gas pedal""
oen_term:oen_0000007
""the gas pedal is an automobile pedal which controls fuel and air supply to the automobile's engine""
""accelerator""
""throttle""";gas pedal;oen_term:oen_0000007;';';oen_0000010;';';"""the gas pedal is an automobile pedal which controls fuel and air supply to the automobile's engine""";'
"owl:Class
""electrod input box""
oen_term:oen_0000000";electrod input box;oen_term:oen_0000000;';';oen_0000014;';';';'
"owl:Class
""stimulus isolator output range minimum current""
oen_term:oen_0000000
""odML terminology""";stimulus isolator output range minimum current;oen_term:oen_0000000;';';oen_0000646;';';';'
"owl:Class
""transmission lower bound""
oen_term:oen_0000000
""odML terminology""";transmission lower bound;oen_term:oen_0000000;';';oen_0000647;';';';'
"owl:Class
""behavioral phenotype""
oen_term:oen_0000000
""odML terminology""";behavioral phenotype;oen_term:oen_0000000;';';oen_0000644;';';';'
"owl:Class
""principle investigator""
oen_term:oen_0000000
""odML terminology""";principle investigator;oen_term:oen_0000000;';';oen_0000645;';';';'
